elapsed_s	worker_jvms	total_threads
0	0	0
3	0	0
6	1	36
9	1	39
12	1	42
15	1	45
18	1	60
21	1	79
24	1	21
27	1	38
30	1	42
33	1	44
36	1	60
39	1	79
42	1	82
45	1	114
48	1	117
51	1	149
54	1	132
57	1	132
60	1	130
63	1	130
66	1	129
69	1	129
72	1	129
75	1	96
79	1	96
82	1	64
85	1	39
88	1	39
91	1	44
94	1	43
97	1	46
100	1	80
103	0	0
106	1	39
109	1	42
112	1	44
115	1	45
118	1	80
121	1	82
124	1	115
127	1	118
130	1	151
133	1	169
136	1	183
139	1	167
142	1	167
145	1	165
148	1	165
151	1	164
154	1	147
157	1	131
160	1	114
163	1	98
166	1	65
169	1	22
172	1	39
175	1	44
179	1	46
182	1	61
185	1	78
188	1	39
191	1	39
194	1	47
197	1	46
200	1	61
203	1	80
206	1	100
209	1	113
212	1	96
215	1	95
218	1	94
221	1	94
224	1	94
227	1	94
230	1	94
233	1	94
236	1	77
239	1	61
242	1	23
245	1	39
248	1	44
251	1	47
254	1	60
257	1	79
260	1	80
263	1	83
266	1	100
269	1	113
273	1	118
276	1	161
279	1	140
282	1	140
285	1	138
288	1	137
291	1	137
294	1	104
297	1	104
300	1	104
303	1	104
306	1	71
309	1	71
312	1	38
315	1	44
318	1	44
321	1	46
324	1	82
327	1	78
330	1	100
333	1	116
336	1	136
339	1	150
342	1	133
345	1	132
348	1	130
351	1	130
354	1	130
357	1	130
360	1	116
363	1	99
366	1	82
369	1	64
373	1	64
376	1	37
379	1	43
382	1	47
385	1	47
388	1	62
391	1	81
394	1	101
397	1	117
400	1	134
403	1	135
406	1	133
409	1	131
412	1	130
415	1	130
418	1	130
421	1	130
424	1	113
427	1	97
430	1	80
433	1	64
436	1	37
439	1	35
442	1	40
445	1	45
448	1	46
451	1	47
454	1	76
457	1	80
460	1	83
463	1	100
467	1	97
470	1	98
473	1	97
476	1	96
479	1	96
482	1	95
485	1	95
488	1	95
491	1	78
494	1	62
497	1	62
500	1	38
503	1	39
506	1	45
509	1	44
512	1	62
515	1	82
518	1	81
521	1	100
524	1	114
527	1	135
530	1	154
533	1	185
536	1	167
539	1	166
542	1	166
545	1	165
548	1	165
551	1	148
554	1	132
557	1	116
560	1	100
563	1	82
567	1	66
570	1	37
573	1	45
576	1	47
579	1	46
582	1	47
585	1	82
588	1	78
591	1	38
594	1	43
597	1	44
600	1	46
603	1	81
606	1	80
609	1	100
612	1	116
615	1	134
618	1	152
621	1	133
624	1	132
627	1	130
630	1	129
633	1	129
636	1	129
639	1	117
642	1	99
645	1	80
648	1	63
651	1	63
654	1	40
657	1	42
660	1	46
664	1	46
667	1	63
670	1	82
673	1	78
676	1	100
679	1	118
682	1	114
685	1	114
688	1	97
691	1	97
694	1	95
697	1	95
700	1	95
703	1	95
706	1	78
709	1	62
712	1	37
715	1	38
718	1	43
721	1	45
724	1	61
727	1	79
730	1	83
733	1	114
736	1	97
739	1	97
742	1	96
745	1	96
748	1	96
751	1	95
754	1	95
757	1	94
761	1	94
764	1	61
767	1	61
770	1	37
773	1	43
776	1	45
779	1	46
782	1	84
785	1	44
788	1	38
791	1	43
794	1	45
797	1	62
800	1	84
803	1	86
806	1	120
809	1	104
812	1	103
815	1	103
818	1	101
821	1	101
824	1	101
827	1	101
830	1	101
833	1	101
836	1	84
839	1	68
842	1	37
845	1	43
848	1	46
851	1	46
854	1	61
857	1	80
861	1	100
864	1	115
867	1	134
870	1	151
873	1	186
876	1	169
879	1	166
882	1	166
885	1	164
888	1	164
891	1	147
894	1	131
897	1	115
900	1	99
903	1	81
906	1	65
909	1	38
912	1	41
915	1	45
918	1	44
921	1	60
924	1	79
927	1	84
930	1	113
933	1	95
936	1	95
939	1	94
942	1	94
945	1	94
948	1	94
951	1	94
954	1	94
958	1	77
961	1	61
964	1	61
967	1	37
970	1	43
973	1	42
976	1	46
979	1	82
982	1	80
985	1	100
988	1	114
991	1	120
994	1	152
997	1	153
1000	1	186
1003	1	167
1006	1	165
1009	1	165
1012	1	164
1015	1	150
1018	1	131
1021	1	115
1024	1	98
1027	1	98
1030	1	65
1033	1	65
1036	1	38
1039	1	42
1042	1	45
1045	1	46
1048	1	81
1051	1	79
1055	1	85
1058	1	115
1061	1	119
1064	1	150
1067	1	153
1070	1	184
1073	1	168
1076	1	166
1079	1	165
1082	1	165
1085	1	149
1088	1	131
1091	1	131
1094	1	99
1097	1	98
1100	1	65
1103	1	65
1106	1	38
1109	1	45
1112	1	48
1115	1	47
1118	1	61
1121	1	78
1124	1	101
1127	1	113
1130	1	96
1133	1	96
1136	1	95
1139	1	94
1142	1	94
1145	1	94
1148	1	94
1152	1	94
1155	1	77
1158	1	61
1161	1	37
1164	1	36
1167	1	34
1170	1	64
1173	1	67
1176	1	37
1179	1	44
1182	1	48
1185	1	46
1188	1	60
1191	1	78
1194	1	39
1197	1	45
1200	1	51
1203	1	51
1206	1	63
1209	1	76
1212	1	37
1215	1	43
1218	1	50
