elapsed_s	worker_jvms	total_threads
0	0	0
3	0	0
6	0	0
9	0	0
12	1	37
15	1	38
18	1	43
21	1	46
24	1	46
28	1	60
31	1	80
34	1	100
37	1	115
40	1	134
43	1	152
46	1	185
49	1	189
52	1	220
55	1	239
58	1	253
61	1	288
64	1	291
67	1	323
70	1	344
73	1	360
76	1	396
79	1	398
82	1	427
85	1	449
88	1	466
91	1	481
94	1	497
97	1	498
100	1	503
103	1	535
106	1	535
109	1	554
112	1	579
115	1	598
119	1	613
122	1	631
125	1	649
128	1	667
131	1	686
134	1	703
137	1	721
140	1	738
143	1	753
146	1	773
149	1	789
152	1	787
155	1	806
158	1	804
161	1	804
164	1	822
167	1	823
170	1	823
173	1	824
176	1	838
179	1	837
182	1	837
185	1	837
188	1	837
191	1	837
194	1	837
197	1	837
201	1	837
204	1	837
207	1	837
210	1	837
213	1	837
216	1	837
219	1	838
222	1	837
225	1	837
228	1	837
231	1	854
234	1	853
237	1	854
240	1	855
243	1	859
246	1	855
249	1	855
252	1	858
255	1	857
258	1	857
261	1	855
264	1	856
267	1	855
270	1	855
274	1	857
277	1	856
280	1	855
283	1	856
286	1	856
289	1	855
292	1	853
295	1	853
298	1	853
301	1	853
304	1	853
307	1	853
310	1	853
313	1	853
316	1	853
319	1	853
322	1	853
325	1	853
328	1	853
331	1	852
334	1	852
338	1	852
341	1	852
344	1	852
347	1	852
350	1	852
353	1	851
356	1	851
359	1	851
362	1	851
365	1	851
368	1	851
371	1	851
374	1	851
377	1	851
380	1	851
383	1	851
386	1	851
389	1	851
392	1	851
395	1	851
399	1	851
402	1	851
405	1	850
408	1	850
411	1	850
414	1	849
417	1	849
420	1	849
423	1	848
426	1	847
429	1	847
432	1	847
435	1	847
438	1	847
441	1	847
444	1	847
447	1	847
450	1	847
453	1	847
456	1	847
459	1	847
462	1	849
466	1	849
469	1	849
472	1	848
475	1	847
478	1	845
481	1	844
484	1	844
487	1	844
490	1	844
493	1	844
496	1	844
499	1	844
502	1	844
505	1	844
508	1	844
511	1	844
514	1	844
517	1	843
520	1	843
523	1	842
527	1	842
530	1	842
533	1	841
536	1	841
539	1	841
542	1	841
545	1	840
548	1	840
551	1	840
554	1	840
557	1	840
560	1	840
563	1	840
566	1	840
569	1	840
572	1	839
575	1	839
578	1	839
581	1	839
584	1	839
587	1	839
590	1	839
594	1	838
597	1	838
600	1	838
603	1	838
606	1	838
609	1	838
612	1	838
615	1	838
618	1	838
621	1	838
624	1	838
627	1	838
630	1	838
633	1	838
636	1	838
639	1	838
642	1	838
645	1	838
648	1	838
651	1	838
654	1	837
658	1	837
661	1	837
664	1	837
667	1	837
670	1	836
673	1	836
676	1	836
679	1	836
682	1	836
685	1	836
688	1	836
691	1	835
694	1	835
697	1	835
700	1	835
703	1	835
706	1	835
709	1	835
712	1	835
716	1	835
719	1	835
722	1	835
725	1	834
728	1	834
731	1	834
734	1	833
737	1	833
740	1	833
743	1	832
746	1	832
749	1	831
752	1	831
755	1	831
758	1	831
761	1	831
764	1	830
767	1	830
770	1	830
773	1	830
776	1	830
780	1	830
783	1	830
786	1	830
789	1	830
792	1	830
795	1	830
798	1	830
801	1	830
804	1	830
807	1	830
810	1	830
813	1	830
816	1	830
819	1	829
822	1	829
825	1	829
828	1	829
831	1	829
834	1	829
837	1	829
841	1	829
844	1	829
847	1	829
850	1	829
853	1	829
856	1	829
859	1	829
862	1	829
865	1	829
868	1	829
871	1	829
874	1	829
877	1	829
880	1	829
883	1	829
886	1	829
889	1	829
892	1	829
895	1	829
898	1	829
901	1	829
904	1	829
908	1	829
911	1	829
914	1	829
917	1	829
920	1	829
923	1	829
926	1	829
929	1	829
932	1	829
935	1	829
938	1	829
941	1	829
944	1	829
947	1	829
950	1	829
953	1	829
956	1	829
959	1	829
962	1	829
965	1	829
968	1	829
972	1	829
975	1	828
978	1	827
981	1	827
984	1	827
987	1	827
990	1	827
993	1	827
996	1	827
999	1	827
1002	1	827
1005	1	827
1008	1	826
1011	1	826
1014	1	826
1017	1	826
1020	1	826
1023	1	826
1026	1	826
1029	1	826
1033	1	826
1036	1	826
1039	1	826
1042	1	826
1045	1	826
1048	1	826
1051	1	826
1054	1	826
1057	1	826
1060	1	826
1063	1	826
1066	1	826
1069	1	826
1072	1	826
1075	1	826
1078	1	826
1081	1	826
1084	1	825
1087	1	825
1090	1	825
1093	1	825
1096	1	825
1100	1	825
1103	1	825
1106	1	825
1109	1	825
1112	1	825
1115	1	825
1118	1	825
1121	1	825
1124	1	825
1127	1	825
1130	1	825
1133	1	825
1136	1	825
1139	1	825
1142	1	825
1145	1	825
1148	1	825
1151	1	825
1154	1	824
1157	1	824
1160	1	824
1164	1	824
1167	1	824
1170	1	824
1173	1	824
1176	1	824
1179	1	824
1182	1	824
1185	1	824
1188	1	824
1191	1	824
1194	1	824
1197	1	824
1200	1	822
1203	1	822
1206	1	822
1209	1	822
1212	1	822
1215	1	822
1218	1	822
1221	1	822
1225	1	822
