elapsed_s	worker_jvms	total_threads
0	1	820
3	1	820
6	1	820
9	1	820
12	1	820
15	1	820
18	2	862
21	2	858
24	2	862
27	2	863
31	2	866
34	2	864
37	2	864
40	2	864
43	2	881
46	2	909
49	2	909
52	2	913
55	2	928
58	2	951
61	2	955
64	2	997
67	2	997
70	2	1016
73	2	1040
76	2	1040
80	2	1059
83	2	1082
86	2	1088
89	2	1129
92	2	1126
95	2	1145
98	2	1172
101	2	1174
104	2	1217
107	2	1212
110	2	1234
113	2	1259
116	2	1261
119	2	1278
122	2	1304
125	2	1306
128	2	1348
132	2	1346
135	2	1366
138	2	1390
141	2	1391
144	2	1408
147	2	1432
150	2	1434
153	2	1438
156	2	1439
159	2	1439
162	2	1454
165	2	1481
168	2	1481
171	2	1484
174	2	1499
177	2	1534
181	2	1533
184	2	1538
187	2	1552
190	2	1575
193	2	1582
196	2	1596
199	2	1618
202	2	1625
205	2	1641
208	2	1667
211	2	1671
214	2	1686
217	2	1711
220	2	1711
223	2	1729
227	2	1753
230	2	1751
233	2	1773
236	2	1771
239	2	1796
242	2	1795
245	2	1797
248	2	1801
251	2	1797
254	2	1812
257	2	1834
260	2	1812
263	2	1812
266	2	1812
269	2	1812
272	2	1816
276	2	1813
279	2	1844
282	2	1840
285	2	1840
288	2	1847
291	2	1847
294	2	1842
297	2	1840
300	2	1845
303	2	1843
306	2	1846
309	2	1841
312	2	1839
315	2	1839
318	2	1839
321	2	1842
325	2	1859
328	2	1855
331	2	1857
334	2	1855
337	2	1856
340	2	1855
343	2	1854
346	2	1854
349	2	1854
352	2	1861
355	2	1860
358	2	1857
361	2	1856
364	2	1857
368	2	1859
371	2	1861
374	2	1853
377	2	1853
380	2	1853
383	2	1854
386	2	1853
389	2	1853
392	2	1857
395	2	1853
398	2	1853
401	2	1853
404	2	1853
408	2	1865
411	2	1860
414	2	1853
417	2	1857
420	2	1852
423	2	1859
426	2	1852
429	2	1863
432	2	1852
435	2	1852
438	2	1855
441	2	1860
444	2	1852
448	2	1852
451	2	1852
454	2	1880
457	2	1852
460	2	1855
463	2	1879
466	2	1852
469	2	1852
472	2	1866
475	2	1853
478	2	1852
481	2	1851
484	2	1851
487	2	1856
491	2	1852
494	2	1851
497	2	1851
500	2	1855
503	2	1855
506	2	1852
509	2	1850
512	2	1850
515	2	1850
518	2	1850
521	2	1850
524	2	1850
527	2	1850
530	2	1850
534	2	1850
537	2	1850
540	2	1849
543	2	1842
546	2	1842
549	2	1835
552	2	1774
555	2	1774
558	2	1775
561	2	1774
564	2	1774
567	2	1771
570	2	1772
573	2	1772
576	2	1770
579	2	1746
582	2	1707
586	2	1690
589	2	1689
592	2	1690
595	2	1694
598	2	1688
601	2	1688
604	2	1689
607	2	1690
610	2	1687
613	2	1672
616	2	1660
619	2	1617
622	2	1600
625	2	1600
628	2	1600
631	2	1602
634	2	1599
638	2	1600
641	2	1599
644	2	1599
647	2	1600
650	2	1577
653	2	1517
656	2	1514
659	2	1513
662	2	1513
665	2	1543
668	2	1543
671	2	1513
674	2	1513
677	2	1514
680	2	1473
683	2	1457
686	2	1446
689	2	1402
692	2	1385
696	2	1385
699	2	1387
702	2	1388
705	2	1386
708	2	1386
711	2	1386
714	2	1386
717	2	1389
720	2	1369
723	2	1344
726	2	1343
729	2	1342
732	2	1342
735	2	1342
738	2	1342
741	2	1343
745	2	1343
748	2	1327
751	2	1302
754	2	1285
757	2	1245
760	2	1243
763	2	1218
766	2	1217
769	2	1217
772	2	1218
775	2	1219
778	2	1213
781	2	1212
784	2	1212
787	2	1215
790	2	1192
793	2	1145
796	2	1128
799	2	1127
803	2	1127
806	2	1129
809	2	1130
812	2	1127
815	2	1124
818	2	1124
821	2	1124
824	2	1108
827	2	1082
830	2	1081
833	2	1081
836	2	1081
839	2	1081
842	2	1081
845	2	1081
848	2	1081
851	2	1065
854	2	1055
857	2	1039
861	2	1039
864	2	1012
867	2	996
870	2	996
873	2	996
876	2	996
879	2	996
882	2	996
885	2	996
888	2	996
891	2	996
894	2	970
897	2	954
900	2	954
903	2	938
906	2	929
909	2	913
912	2	913
915	2	913
918	2	913
922	2	913
925	2	913
928	2	913
931	2	913
934	1	820
